DateTime,Open,High,Low,Close,Volume,BidVolume,AskVolume,MaxDelta,MinDelta,SignalLong,SignalShort
2026-08-03 08:30,6345.00,6347.50,6344.00,6346.75,1200,500,700,900,-600,0,0
2026-08-03 08:35,6346.75,6349.00,6346.00,6348.50,1400,450,950,1200,-400,1,0
2026-08-03 08:40,6348.50,6350.00,6347.00,6347.25,1100,600,500,400,-700,0,0
2026-08-03 08:45,6347.25,6348.00,6343.00,6343.50,1600,1000,600,500,-1100,0,1
2026-08-03 08:50,6343.50,6345.00,6342.00,6344.50,1000,400,600,700,-500,0,0
2026-08-03 08:55,6344.50,6347.00,6344.00,6346.00,1300,500,800,1000,-450,1,0
2026-08-03 09:00,6346.00,6346.50,6342.50,6343.00,1500,900,600,600,-1000,0,0
2026-08-03 09:05,6343.00,6344.00,6340.00,6340.50,1700,1100,600,550,-1200,0,1
2026-08-03 09:10,6340.50,6343.00,6340.00,6342.50,900,350,550,650,-400,0,0
2026-08-03 09:15,6342.50,6345.50,6342.00,6345.00,1250,450,800,950,-500,1,0
2026-08-03 09:20,6345.00,6345.50,6341.00,6341.50,1400,850,550,500,-900,0,0
2026-08-03 09:25,6341.50,6342.50,6338.00,6338.50,1650,1050,600,600,-1150,0,1
