DateTime,Symbol,Side,Qty,Entry,Exit,PnL
2026-08-03 08:40,ES,long,1,6348.50,6352.00,175.00
2026-08-03 09:15,ES,short,1,6345.00,6341.00,200.00
2026-08-03 10:30,ES,long,1,6346.00,6344.50,-75.00
2026-08-03 13:45,ES,short,1,6344.00,6346.50,-125.00
2026-08-03 14:20,ES,long,2,6341.50,6343.00,150.00
2026-08-04 08:35,ES,long,1,6341.50,6345.00,175.00
2026-08-04 09:50,ES,short,1,6347.00,6349.50,-125.00
2026-08-04 12:10,ES,long,1,6350.00,6349.00,-50.00
2026-08-04 14:00,ES,short,1,6352.50,6349.00,175.00
2026-08-04 19:30,ES,long,1,6354.00,6353.00,-50.00
