DateTime,Open,High,Low,Close,Volume,BidVolume,AskVolume,MaxDelta,MinDelta,SignalLong,SignalShort
2026-08-04 08:30,6340.00,6342.00,6339.00,6341.50,1100,450,650,800,-400,1,0
2026-08-04 08:35,6341.50,6344.00,6341.00,6343.50,1200,400,800,950,-350,0,0
2026-08-04 08:40,6343.50,6346.00,6343.00,6345.50,1300,450,850,1000,-400,1,0
2026-08-04 08:45,6345.50,6348.00,6345.00,6347.50,1250,400,850,1000,-350,0,0
2026-08-04 08:50,6347.50,6348.50,6344.00,6344.50,1400,800,600,600,-900,0,0
2026-08-04 08:55,6344.50,6347.00,6344.00,6346.50,1150,450,700,850,-400,1,0
2026-08-04 09:00,6346.50,6349.00,6346.00,6348.50,1300,450,850,1000,-400,0,0
2026-08-04 09:05,6348.50,6351.00,6348.00,6350.50,1350,450,900,1050,-350,1,0
2026-08-04 09:10,6350.50,6352.00,6349.50,6351.00,1100,450,650,750,-400,0,0
2026-08-04 09:15,6351.00,6353.00,6350.50,6352.50,1200,450,750,900,-400,0,0
2026-08-04 09:20,6352.50,6353.50,6350.00,6350.50,1300,750,550,550,-850,0,1
2026-08-04 09:25,6350.50,6352.50,6350.00,6352.00,1150,450,700,800,-400,0,0
2026-08-04 09:30,6352.00,6354.50,6351.50,6354.00,1250,400,850,1000,-350,1,0
2026-08-04 09:35,6354.00,6356.00,6353.50,6355.50,1200,400,800,950,-350,0,0
